H01,高畑駅,東山線
H02,八田駅,東山線
H03,岩塚駅,東山線
H04,中村公園駅,東山線
H05,中村日赤駅,東山線
H06,本陣駅,東山線
H07,亀島駅,東山線
H08,名古屋駅,東山線
H09,伏見駅,東山線
H10,栄駅,東山線
H11,新栄町駅,東山線
H12,千種駅,東山線
H13,今池駅,東山線
H14,池下駅,東山線
H15,覚王山駅,東山線
H16,本山駅,東山線
H17,東山公園駅,東山線
H18,星ヶ丘駅,東山線
H19,一社駅,東山線
H20,上社駅,東山線
H21,本郷駅,東山線
H22,藤が丘駅,東山線
M01,金山駅,名城線
M02,"東別院駅
（メ～テレ前）",名城線
M03,上前津駅,名城線
M04,矢場町駅,名城線
M05,栄駅,名城線
M06,久屋大通駅,名城線
M07,"市役所駅
（県庁/名古屋城）",名城線
M08,名城公園駅,名城線
M09,黒川駅,名城線
M10,志賀本通駅,名城線
M11,平安通駅,名城線
M12,大曽根駅,名城線
M13,ナゴヤドーム前矢田駅,名城線
M14,砂田橋駅,名城線
M15,茶屋ヶ坂駅,名城線
M16,自由ヶ丘駅,名城線
M17,本山駅,名城線
M18,名古屋大学駅,名城線
M19,八事日赤駅,名城線
M20,八事駅,名城線
M21,総合リハビリセンター駅,名城線
M22,瑞穂運動場東駅,名城線
M23,新瑞橋駅,名城線
M24,妙音通駅,名城線
M25,堀田駅,名城線
M26,伝馬町駅,名城線
M27,神宮西駅,名城線
M28,西高蔵駅,名城線
E01,金山駅,名港線
E02,"日比野駅
（中央卸売市場）",名港線
E03,六番町駅,名港線
E04,東海通駅,名港線
E05,港区役所駅,名港線
E06,築地口駅,名港線
E07,名古屋港駅,名港線
T01,上小田井駅,鶴舞線
T02,庄内緑地公園駅,鶴舞線
T03,庄内通駅,鶴舞線
T04,浄心駅,鶴舞線
T05,浅間町駅,鶴舞線
T06,丸の内駅,鶴舞線
T07,伏見駅,鶴舞線
T08,大須観音駅,鶴舞線
T09,上前津駅,鶴舞線
T10,鶴舞駅,鶴舞線
T11,荒畑駅,鶴舞線
T12,"御器所駅
（昭和区役所）",鶴舞線
T13,川名駅,鶴舞線
T14,いりなか駅,鶴舞線
T15,八事駅,鶴舞線
T16,"塩釜口駅
（名城大学前）",鶴舞線
T17,植田駅,鶴舞線
T18,原駅,鶴舞線
T19,平針駅,鶴舞線
T20,赤池駅,鶴舞線
S01,■中村区役所駅,桜通線
S02,■名古屋駅,桜通線
S03,■国際センター駅,桜通線
S04,■丸の内駅,桜通線
S05,■久屋大通駅,桜通線
S06,■高岳駅,桜通線
S07,■車道駅,桜通線
S08,■今池駅,桜通線
S09,■吹上駅,桜通線
S10,"■御器所駅
（昭和区役所）",桜通線
S11,"■桜山駅
（市立大学病院）",桜通線
S12,■瑞穂区役所駅,桜通線
S13,■瑞穂運動場西駅,桜通線
S14,■新瑞橋駅,桜通線
S15,■桜本町駅,桜通線
S16,■鶴里駅,桜通線
S17,■野並駅,桜通線
S18,■鳴子北駅,桜通線
S19,■相生山駅,桜通線
S20,■神沢駅,桜通線
S21,■徳重駅,桜通線
K01,上飯田駅,上飯田線
K02,平安通駅,上飯田線
,豊橋駅,東海道本線
,西小坂井駅,東海道本線
,愛知御津駅,東海道本線
,三河大塚駅,東海道本線
,三河三谷駅,東海道本線
